season,division,datetime,datetimeUTC,matchday,homeID,homeName,homeIcon,guestID,guestName,guestIcon,homeScore,guestScore,locID,locCity,locStadium
2016,bl1,2016-08-26 20:30:00,2016-08-26 18:30:00+00:00,1,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,2,0,34,München,Allianz Arena
2016,bl1,2016-08-27 15:30:00,2016-08-27 13:30:00+00:00,1,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,1,0,184,Dortmund,Signal-Iduna-Park
2016,bl1,2016-08-27 15:30:00,2016-08-27 13:30:00+00:00,1,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,118,SV Darmstadt 98,https://upload.wikimedia.org/wikipedia/commons/e/e5/SV_Darmstadt_98_Logo.svg,1,0,788,Köln,Rheinenergie Stadion
2016,bl1,2016-08-27 15:30:00,2016-08-27 13:30:00+00:00,1,100,Hamburger SV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,171,FC Ingolstadt 04,https://upload.wikimedia.org/wikipedia/de/thumb/5/55/FC-Ingolstadt_logo.svg/125px-FC-Ingolstadt_logo.svg.png,1,0,1030,Hamburg,Volksparkstadion
2016,bl1,2016-08-27 15:30:00,2016-08-27 13:30:00+00:00,1,95,FC Augsburg,https://i.imgur.com/sdE62e2.png,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,0,1,1079,Augsburg,WWK-Arena
2016,bl1,2016-08-27 15:30:00,2016-08-27 13:30:00+00:00,1,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,1,0,183,Frankfurt,Commerzbank-Arena
2016,bl1,2016-08-27 18:30:00,2016-08-27 16:30:00+00:00,1,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,1,0,32,Mönchengladbach,Borussia Park
2016,bl1,2016-08-28 15:30:00,2016-08-28 13:30:00+00:00,1,54,Hertha BSC,https://i.imgur.com/apFwbYZ.png,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,0,0,22,Berlin,Olympiastadion
2016,bl1,2016-08-28 17:30:00,2016-08-28 15:30:00+00:00,1,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,0,0,511,Sinsheim,WIRSOL Rhein-Neckar-Arena
2016,bl1,2016-09-09 20:30:00,2016-09-09 18:30:00+00:00,2,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,0,0,403,Gelsenkirchen,Veltins-Arena
2016,bl1,2016-09-10 15:30:00,2016-09-10 13:30:00+00:00,2,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,100,Hamburger SV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,0,0,28,Leverkusen,BayArena
2016,bl1,2016-09-10 15:30:00,2016-09-10 13:30:00+00:00,2,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,0,0,435,Wolfsburg,Volkswagen-Arena
2016,bl1,2016-09-10 15:30:00,2016-09-10 13:30:00+00:00,2,171,FC Ingolstadt 04,https://upload.wikimedia.org/wikipedia/de/thumb/5/55/FC-Ingolstadt_logo.svg/125px-FC-Ingolstadt_logo.svg.png,54,Hertha BSC,https://i.imgur.com/apFwbYZ.png,0,1,354,Ingolstadt,Audi-Sportpark
2016,bl1,2016-09-10 15:30:00,2016-09-10 13:30:00+00:00,2,118,SV Darmstadt 98,https://upload.wikimedia.org/wikipedia/commons/e/e5/SV_Darmstadt_98_Logo.svg,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,0,0,1080,Darmstadt,Jonathan-Heimes-Stadion am Böllenfalltor
2016,bl1,2016-09-10 15:30:00,2016-09-10 13:30:00+00:00,2,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,0,1,966,Freiburg,Schwarzwald-Stadion
2016,bl1,2016-09-10 18:30:00,2016-09-10 16:30:00+00:00,2,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,0,0,478,Leipzig,Red Bull Arena
2016,bl1,2016-09-11 15:30:00,2016-09-11 13:30:00+00:00,2,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,95,FC Augsburg,https://i.imgur.com/sdE62e2.png,1,0,492,Bremen,Weser-Stadion
2016,bl1,2016-09-11 17:30:00,2016-09-11 15:30:00+00:00,2,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,4,1,1081,Mainz,Opel-Arena
2016,bl1,2016-09-16 20:30:00,2016-09-16 18:30:00+00:00,3,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,3,0,788,Köln,Rheinenergie Stadion
2016,bl1,2016-09-17 15:30:00,2016-09-17 13:30:00+00:00,3,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,171,FC Ingolstadt 04,https://upload.wikimedia.org/wikipedia/de/thumb/5/55/FC-Ingolstadt_logo.svg/125px-FC-Ingolstadt_logo.svg.png,1,1,34,München,Allianz Arena
2016,bl1,2016-09-17 15:30:00,2016-09-17 13:30:00+00:00,3,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,118,SV Darmstadt 98,https://upload.wikimedia.org/wikipedia/commons/e/e5/SV_Darmstadt_98_Logo.svg,1,0,184,Dortmund,Signal-Iduna-Park
2016,bl1,2016-09-17 15:30:00,2016-09-17 13:30:00+00:00,3,100,Hamburger SV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,0,0,1030,Hamburg,Volksparkstadion
2016,bl1,2016-09-17 15:30:00,2016-09-17 13:30:00+00:00,3,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,0,0,511,Sinsheim,WIRSOL Rhein-Neckar-Arena
2016,bl1,2016-09-17 15:30:00,2016-09-17 13:30:00+00:00,3,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,0,0,183,Frankfurt,Commerzbank-Arena
2016,bl1,2016-09-17 18:30:00,2016-09-17 16:30:00+00:00,3,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,4,0,32,Mönchengladbach,Borussia Park
