season,division,datetime,datetimeUTC,matchday,homeID,homeName,homeIcon,guestID,guestName,guestIcon,homeScore,guestScore,locID,locCity,locStadium
2010,bl1,2010-08-20 20:30:00,2010-08-20 18:30:00+00:00,1,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,2,1,34,München,Allianz Arena
2010,bl1,2010-08-21 15:30:00,2010-08-21 13:30:00+00:00,1,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,4,1,24,Sinsheim,Rhein Neckar Arena
2010,bl1,2010-08-21 15:30:00,2010-08-21 13:30:00+00:00,1,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,79,1. FC Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,1,1,32,Mönchengladbach,Borussia Park
2010,bl1,2010-08-21 15:30:00,2010-08-21 13:30:00+00:00,1,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,76,1. FC Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/d/d3/Logo_1_FC_Kaiserslautern.svg,1,3,31,Köln,Rhein Energie Stadion 
2010,bl1,2010-08-21 15:30:00,2010-08-21 13:30:00+00:00,1,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,98,FC St. Pauli,https://upload.wikimedia.org/wikipedia/commons/a/a3/FC_St._Pauli_logo.png,1,3,26,Freiburg,badenova Stadion
2010,bl1,2010-08-21 15:30:00,2010-08-21 13:30:00+00:00,1,55,Hannover 96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,2,1,29,Hannover,AWD Arena
2010,bl1,2010-08-21 18:30:00,2010-08-21 16:30:00+00:00,1,100,Hamburger SV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,2,1,362,Hamburg,Imtech-Arena
2010,bl1,2010-08-22 15:30:00,2010-08-22 13:30:00+00:00,1,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,16,VfB Stuttgart,https://i.imgur.com/v0tkpNx.png,2,0,23,Mainz,Bruchwegstadion
2010,bl1,2010-08-22 17:30:00,2010-08-22 15:30:00+00:00,1,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,0,2,35,Dortmund,Signal Iduna Park
2010,bl1,2010-08-27 20:30:00,2010-08-27 18:30:00+00:00,2,76,1. FC Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/d/d3/Logo_1_FC_Kaiserslautern.svg,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,2,0,83,Kaiserslautern,Fritz Walter Stadion
2010,bl1,2010-08-28 15:30:00,2010-08-28 13:30:00+00:00,2,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,55,Hannover 96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,1,2,33,Gelsenkirchen,Veltins Arena
